TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,201,00:00,7.849529417147772,0,0,0,0,0,0,0,0,9999
1,201,00:10,7.791708597701788,0,0,0,0,0,0,0,0,9999
1,201,00:20,6.958755151106989,0,0,0,0,0,0,0,0,9999
1,201,00:30,6.618948418604344,0,0,0,0,0,0,0,0,9999
1,201,00:40,6.890672047816853,0,0,0,0,0,0,0,0,9999
1,201,00:50,6.233192634758257,0,0,0,0,0,0,0,0,9999
1,201,01:00,5.976115901148231,0,0,0,0,0,0,0,0,9999
1,201,01:10,6.121704428374243,0,0,0,0,0,0,0,0,9999
1,201,01:20,6.054706357005952,0,0,0,0,0,0,0,0,9999
1,201,01:30,6.0519463760817604,0,0,0,0,0,0,0,0,9999
1,201,01:40,5.789584547996788,0,0,0,0,0,0,0,0,9999
1,201,01:50,5.251954035920974,0,0,0,0,0,0,0,0,9999
1,201,02:00,5.154407338326118,0,0,0,0,0,0,0,0,9999
1,201,02:10,5.244699884954883,0,0,0,0,0,0,0,0,9999
1,201,02:20,4.8547870976015535,0,0,0,0,0,0,0,0,9999
1,201,02:30,4.86168768721055,0,0,0,0,0,0,0,0,9999
1,201,02:40,5.163387065388934,0,0,0,0,0,0,0,0,9999
1,201,02:50,5.266622630406301,0,0,0,0,0,0,0,0,9999
1,201,03:00,4.968101290685041,0,0,0,0,0,0,0,0,9999
1,201,03:10,4.781991421752579,0,0,0,0,0,0,0,0,9999
1,201,03:20,5.315192141412112,0,0,0,0,0,0,0,0,9999
1,201,03:30,5.032442729539187,0,0,0,0,0,0,0,0,9999
1,201,03:40,5.101972520868226,0,0,0,0,0,0,0,0,9999
1,201,03:50,5.097520189653308,0,0,0,0,0,0,0,0,9999
1,201,04:00,5.056608771754439,0,0,0,0,0,0,0,0,9999
1,201,04:10,5.604097061751887,0,0,0,0,0,0,0,0,9999
1,201,04:20,5.4920427877180575,0,0,0,0,0,0,0,0,9999
1,201,04:30,5.053515081297834,0,0,0,0,0,0,0,0,9999
1,201,04:40,5.278391154083148,0,0,0,0,0,0,0,0,9999
1,201,04:50,5.190008655106136,0,0,0,0,0,0,0,0,9999
1,201,05:00,5.722668010670622,0,0,0,0,0,0,0,0,9999
1,201,05:10,5.305878391569737,0,0,0,0,0,0,0,0,9999
1,201,05:20,4.844184221493579,0,0,0,0,0,0,0,0,9999
1,201,05:30,5.379280337747321,0,0,0,0,0,0,0,0,9999
1,201,05:40,5.401474728804006,0,0,0,0,0,0,0,0,9999
1,201,05:50,5.448838761286938,0,0,0,0,0,0,0,0,9999
1,201,06:00,5.394697175684374,0,0,0,0,0,0,0,0,9999
1,201,06:10,5.67120996547573,0,0,0,0,0,0,0,0,9999
1,201,06:20,4.957529653859434,0,0,0,0,0,0,0,0,9999
1,201,06:30,5.287562878588336,0,0,0,0,0,0,0,0,9999
1,201,06:40,4.781030510376632,0,0,0,0,0,0,0,0,9999
1,201,06:50,5.020012452631058,0,0,0,0,0,0,0,0,9999
1,201,07:00,4.564046135304612,0,0,0,0,0,0,0,0,9999
1,201,07:10,5.126842354760507,0,0,0,0,0,0,0,0,9999
1,201,07:20,5.15154139608476,0,0,0,0,0,0,0,0,9999
1,201,07:30,4.8216820567710466,0,0,0,0,0,0,0,0,9999
1,201,07:40,4.544549507832102,0,0,0,0,0,0,0,0,9999
1,201,07:50,4.3793880914595595,0,0,0,0,0,0,0,0,9999
1,201,08:00,4.8287465622556915,0,0,0,0,0,0,0,0,9999
1,201,08:10,5.088487686366624,0,0,0,0,0,0,0,0,9999
1,201,08:20,5.165434516720973,0,0,0,0,0,0,0,0,9999
1,201,08:30,5.399806066112691,0,0,0,0,0,0,0,0,9999
1,201,08:40,5.198302113664304,0,0,0,0,0,0,0,0,9999
1,201,08:50,5.354609175678658,0,0,0,0,0,0,0,0,9999
1,201,09:00,5.042955380504403,0,0,0,0,0,0,0,0,9999
1,201,09:10,6.613731204559325,0,0,0,0,0,0,0,0,9999
1,201,09:20,6.6475194524466925,0,0,0,0,0,0,0,0,9999
1,201,09:30,7.709804695087081,0,0,0,0,0,0,0,0,9999
1,201,09:40,8.366234635734152,0,0,0,0,0,0,0,0,9999
1,201,09:50,8.010483846678003,0,0,0,0,0,0,0,0,9999
1,201,10:00,6.047970878137833,0,0,0,0,0,0,0,0,9999
1,201,10:10,6.873367862215697,0,0,0,0,0,0,0,0,9999
1,201,10:20,5.297947260505715,0,0,0,0,0,0,0,0,9999
1,201,10:30,4.8392210843778,0,0,0,0,0,0,0,0,9999
1,201,10:40,4.489937635617972,0,0,0,0,0,0,0,0,9999
1,201,10:50,4.52399148959911,0,0,0,0,0,0,0,0,9999
1,201,11:00,4.356221749762732,0,0,0,0,0,0,0,0,9999
1,201,11:10,3.868277250639497,0,0,0,0,0,0,0,0,9999
1,201,11:20,3.371678364034038,0,0,0,0,0,0,0,0,9999
1,201,11:30,4.5759636232274845,0,0,0,0,0,0,0,0,9999
1,201,11:40,4.082281237835502,0,0,0,0,0,0,0,0,9999
1,201,11:50,4.874521849008386,0,0,0,0,0,0,0,0,9999
1,201,12:00,4.645808856465309,0,0,0,0,0,0,0,0,9999
1,201,12:10,3.785533958829021,0,0,0,0,0,0,0,0,9999
1,201,12:20,3.5027552120880787,0,0,0,0,0,0,0,0,9999
1,201,12:30,3.439032551290522,0,0,0,0,0,0,0,0,9999
1,201,12:40,2.7886345298321893,0,0,0,0,0,0,0,0,9999
1,201,12:50,3.1759675535933574,0,0,0,0,0,0,0,0,9999
1,201,13:00,2.6994945011363494,0,0,0,0,0,0,0,0,9999
1,201,13:10,4.050730722438879,0,0,0,0,0,0,0,0,9999
1,201,13:20,3.252346165492025,0,0,0,0,0,0,0,0,9999
1,201,13:30,2.961876751016056,0,0,0,0,0,0,0,0,9999
1,201,13:40,2.9952074391984094,0,0,0,0,0,0,0,0,9999
1,201,13:50,3.1433375893730466,0,0,0,0,0,0,0,0,9999
1,201,14:00,3.0443360738875778,0,0,0,0,0,0,0,0,9999
1,201,14:10,3.05542575842174,0,0,0,0,0,0,0,0,9999
